Name,Imagem, Descricao
Coffee Talk;https://upload.wikimedia.org/wikipedia/pt/thumb/8/8c/Capa_de_Coffee_Talk.jpeg/300px-Capa_de_Coffee_Talk.jpeg;Coffee Talk é um romance visual desenvolvido pelo estúdio independente indonésio Toge Productions, lançada em 29 de janeiro de 2020 para Microsoft Windows, macOS, Nintendo Switch, PlayStation 4 e Xbox One. O jogo foi lançado no Japão para o Nintendo Switch um dia depois, em 30 de janeiro de 2020. O jogo segue um barista que trabalha em uma cafeteria em uma versão de fantasia de Seattle, ouvindo as preocupações dos diversos clientes da cafeteria e preparando bebidas. 
Streets of Rougue;https://upload.wikimedia.org/wikipedia/en/c/cb/Streets_of_Rogue_cover_art.jpeg; Streets of Rogue é um videogame roguelite desenvolvido por Matt Dabrowski e publicado pela tinyBuild para Linux, macOS, Microsoft Windows, Nintendo Switch, PlayStation 4 e Xbox One. Foi lançado inicialmente em acesso antecipado durante 2017 e foi totalmente lançado em 12 de julho de 2019.
Vampire Survivors;https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/ncom/software/switch/70010000059002/e2c326b8fbab42b3f48c86c10c728b8bc04cf59fa51302c54837823879e6749f; Vampire Survivors é um videogame shoot 'em up roguelike de 2022 desenvolvido e publicado por Luca Galante, também conhecido como poncle. Após um período de acesso antecipado a partir de dezembro de 2021, foi lançado para macOS, Windows, Xbox One, Xbox Series X/S, Android e iOS no final de 2022.
Milk outside a bag of milk outside a bag of milk;https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/ncom/software/switch/70010000057851/da0f3f0883d7be1dc875773fe69710c6990aac5b2bf6109d2cf831c1edfcc9f4; Milk Inside a Bag of Milk Inside a Bag of Milk ​​é um jogo de visual novel de terror psicológico de 2020 desenvolvido pelo desenvolvedor de jogos russo Nikita Kryukov. O jogo é centrado em uma protagonista feminina sem nome que visita um mercado próximo para comprar um saco de leite, mas está preocupada com os desafios de sofrer de traumas e psicoses graves. O jogador joga como uma voz dentro de sua cabeça com a qual ela compartilha um monólogo interior.
Carpe Diem; https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/423880/header.jpg?t=1729273784; Experimente esta curta história agridoce na pele do personagem principal, Jung, onde você passará seu tempo saindo com uma garota chamada Ai. Ai é tudo o que Jung deseja em uma mulher... exceto por uma coisa muito importante. Uma coisa que ele prefere ignorar para que eles tenham o melhor momento de suas vidas.
META REVELATIONS - RING SPIRITS;https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1067030/header.jpg?t=1703289333; Meta Revelations conta histórias do mundo do Éden - um mundo criado por dois Soberanos e governado por quatorze Daeva. Riley Wrean é interrompido de seu curso normal de vida nas montanhas quando uma garota cai do céu. Essa garota, Tay Karas, o envia em uma descoberta do mundo abaixo. Ao longo do caminho, ele encontrará amigos e inimigos, enquanto a batida de um poder sinistro paira sobre ele.
Pirate101;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/620620/header.jpg?t=1712863844; Pirate101 é um jogo de RPG online multijogador massivo (MMORPG) de 2012 desenvolvido e publicado pela KingsIsle Entertainment. É um jogo irmão de Wizard101, ambientado no mesmo universo fictício do “Spiral”. O jogador assume o papel de um pirata, que, após ser resgatado de um navio-prisão, começa a procurar por pedaços de um mapa que poderia levá-lo ao mundo mítico e há muito perdido de El Dorado. O jogador está em uma corrida para alcançá-lo com Kane, o principal antagonista do jogo.
Confess My Love;https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/637850/header.jpg?t=1669431120; A história começa na escola quando Willie decidiu confessar seu amor para sua amada, Liza. Ele hesitou por bastante tempo com medo de ser recusado. Deveria ele juntar toda a sua coragem para confessar seu amor por ela? Por que Julie continua aqui? Não esqueça de esconder seu diário, jamais deve ser lido por outras pessoas.
Hands of Necromancy;https://cdn1.epicgames.com/spt-assets/5e42e94368814da091ca2e9fbbfb4af4/hands-of-necromancy-eyh20.jpg?resize=1&w=480&h=270&quality=medium; Você é um Necromante: um feiticeiro solitário que busca se tornar cada vez mais poderoso e aprender novas formas de magia negra. Você passa seus dias procurando desafiantes para lutar, para que possa aprimorar sua arte perversa. Mas enquanto você destrói miríades de monstros, nenhum deles parece realmente valer a pena lutar...
Lunar Axe;https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1305820/header.jpg?t=1728257867; Lunar Axe é um jogo de aventura de apontar e clicar, com locais e história inspirados em lugares reais e incrível arte de desenho à mão. Após um grande terremoto no centro da cidade, ruínas de um prédio antigo desabam e você acaba dentro de um casarão abandonado. Agora, você deve encontrar uma saída e desvendar o mistério dos inexplicáveis tremores, conhecendo o espírito guardião de um poderoso artefato místico e sua relação com os recentes acontecimentos, antes que seja tarde demais.
Dust: An Elysian Tail;https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/236090/header.jpg?t=1667838728; Mergulhe em um mundo lindo pintado à mão em busca de sua verdadeira identidade. Como o misterioso guerreiro, Dust, sua jornada cheia de ação o levará de clareiras pacíficas a topos de montanhas nevadas e além. À sua disposição está a mítica Blade of Ahrah, capaz de transformar seu portador em uma força imparável da natureza, e o pequeno guardião da lâmina, Fidget.
De volta a Ilha de Shironagasu;https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1156990/header_brazilian.jpg?t=1716465927; Um jogo de aventura, mistério e romance visual que se passa na solitária Ilha de Shironagasu. Explore a ilha e descubra seus segredos sinistros assumindo o papel do detetive Sen Ikeda e sua assistente Neneko Izumozaki.
